date,cash_injected,cash_balance,SPY,TLT,GLD,SHY,DBC,VXUS,EWY,total_value
2026-04-01,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2026-04-02,0.0,99500.0,0.3032753872678504,0.6634343727448501,0.266177236064418,0.3343081279445208,2.811332214155746,0.1259952504031789,0.0794751561665333,100000.0
2026-04-03,0.0,99000.0,0.6065507745357008,1.3268687454896964,0.5323544721288371,0.6686162558890418,5.622664428311493,0.2519905008063575,0.1589503123330654,100000.00000000004
2026-04-06,0.0,98500.0,0.9083915578300732,1.9914003165020064,0.799644066798506,1.003260047432066,8.419608600336593,0.3771886748657145,0.236470250164299,100002.1597833326
2026-04-07,0.0,98000.0,1.2101067846049482,2.6560301259833734,1.064327633254985,1.3376665294492722,11.22727419709113,0.5023092289245081,0.3132188920885556,100005.17819347885
2026-04-08,0.0,97500.0,1.5042368616305293,3.3186146189132675,1.3273757115741691,1.671812060949427,14.116800966354791,0.6224093337653203,0.3827779014104392,100025.79112442747
2026-04-09,0.0,97000.0,1.7966696998473852,3.983001113122115,1.5883713752631774,2.0059133838538674,16.991187914052276,0.7427668261302652,0.4527456101304317,100037.16942298654
2026-04-10,0.0,96500.0,2.0892823661965525,4.649005221423473,1.8498295310605268,2.3401173278793106,19.88720254191585,0.8628105190974188,0.5230003714998008,100030.55559835136
2026-04-13,0.0,96000.0,2.3790273078509614,5.313098740629113,2.1124520436040934,2.674148652343385,22.736256958803477,0.9819398247625932,0.591979972965926,100053.4889510748
2026-04-14,0.0,95500.0,2.6652676601406013,5.9738491036432615,2.369211780470582,3.00808144802073,25.59898208816037,1.0997433860504826,0.6583128477929945,100097.92825141927
2026-04-15,0.0,95000.0,2.9491614728848465,6.637636772191063,2.628804324907001,3.3421033836925984,28.45655846290383,1.2177876988339051,0.7254940556813575,100099.18807840795
2026-04-16,0.0,94500.0,3.232346462599504,7.305937717868746,2.8886559983022404,3.676282818568734,31.291657686496972,1.3358726152778488,0.791453432356503,100107.6104408408
2026-04-17,0.0,94000.0,3.5120355026133088,7.968036570518485,3.1449805243963023,4.009884541805212,34.21466808872697,1.4523212497963167,0.855195385115789,100137.93993592163
2026-04-20,0.0,93500.0,3.792302409209943,8.630250163339618,3.40365839446104,4.343634410717997,37.09631936824123,1.5691631742682346,0.9199519094868738,100131.25112277588
2026-04-21,0.0,93000.0,4.07439775861382,9.2960331226289,3.670262675853901,4.677723795644362,39.91951006446999,1.688388033312831,0.9862389905726467,100080.87968101146
2026-04-22,0.0,92500.0,4.353667239204168,9.96093974810854,3.933332036371696,5.0119036784300315,42.7140341092809,1.8066036615872876,1.0484357181027295,100154.63567124684
2026-04-23,0.0,92000.0,4.634051127394891,10.627269497337249,4.199123429507459,5.346181149038965,45.469454045899376,1.9261540125563537,1.112965280366088,100133.13264059577
2026-04-24,0.0,91500.0,4.912210776915822,11.292562296976184,4.463561463018235,5.680212830480963,48.22913442186072,2.044544025140029,1.1757059868823383,100174.57606794631
2026-04-27,0.0,91000.0,5.189844103360191,11.961474090024064,4.73025527201422,6.014330817238496,50.96568868347967,2.163169312673602,1.2374930894340062,100173.99478598288
2026-04-28,0.0,90500.0,5.468832571306429,12.629281944935038,5.002347412147212,6.348501958937835,53.67600702789933,2.2824512694404064,1.3002966321372318,100127.80705189108
2026-04-29,0.0,90000.0,5.747885638652454,13.302896656674154,5.277687330894391,6.6831861653396105,56.314892759909114,2.402812080308052,1.3632903622064034,100133.24888841748
2026-04-30,0.0,89500.0,6.024145648814786,13.977867466717594,5.548796614010675,7.017791103533762,58.954473030957274,2.5203419080706566,1.423358557209797,100221.26245639836
2026-05-01,0.0,89000.0,6.2995440450045805,14.650141302373155,5.820242905394122,7.352329948463589,61.62194237736944,2.638012020597167,1.4829048378770775,100219.38312004737
2026-05-04,0.0,88500.0,6.574942441194374,15.32241513802872,6.091689196777569,7.68686879339342,64.28941172378163,2.755682133123681,1.542451118544358,100219.38312004737
2026-05-05,0.0,88000.0,6.850340837384169,15.99468897368428,6.363135488161016,8.02140763832325,66.9568810701938,2.873352245650193,1.6019973992116383,100219.38312004737
2026-05-06,0.0,87500.0,7.125739233573964,16.666962809339843,6.6345817795444635,8.35594648325308,69.62435041660598,2.9910223581767026,1.661543679878919,100219.38312004737
2026-05-07,0.0,87000.0,7.401137629763758,17.33923664499541,6.906028070927911,8.690485328182906,72.29181976301814,3.1086924707032164,1.7210899605461991,100219.38312004734
2026-05-08,0.0,86500.0,7.676536025953553,18.01151048065098,7.177474362311358,9.025024173112731,74.9592891094303,3.226362583229728,1.7806362412134795,100219.38312004732
2026-05-11,0,86000.0,7.975495505022168,18.148288606675138,7.468937075667085,9.361683878005481,77.90879518051823,3.3533356748299745,1.8348659906503375,100525.1847580371
2026-05-12,0,85500.0,8.274931373031883,18.286658160795128,7.761684039167162,9.698575359592596,80.79020128975179,3.482305488780894,1.894303357088993,100511.3618939176
2026-05-13,0,85000.0,8.572461029808508,18.425597945798774,8.056368156483297,10.03535616806055,83.70610363505953,3.6097957641403067,1.9499594398182178,100519.7895576196
2026-05-14,0,84500.0,8.86730207021605,18.56421452128002,8.353723307881097,10.372323615909663,86.64644261276199,3.7374068367517355,2.0049566833105295,100530.4818376528
2026-05-15,0,84000.0,9.165623039208441,18.706035930249477,8.658566086601008,10.708926927329879,89.57500676504655,3.868132561286185,2.0641609192961976,100316.32892511181
2026-05-18,0,83581.32439205032,9.421917322415334,18.82715998325418,8.899000728903586,10.97212189238154,92.09879519768435,3.980277675133732,2.115213323913791,100316.32892511181
2026-05-19,0,83164.55592338151,9.687965737126083,18.88344200858112,9.124800972341106,11.243308274793248,94.68246917922258,4.096206412449008,2.168674749040739,100273.09006727228
2026-05-20,0,82749.92398084702,9.942108692350294,19.029150789041005,9.35468537818537,11.511869909083131,97.22317022580383,4.206370007166443,2.2193662324097385,100287.20341108696
2026-05-21,0,82337.58312574068,10.188258441421269,19.235390082026665,9.58424230501845,11.77367140697437,99.73559494985462,4.312607444727624,2.2661329727398463,100341.6505496483
2026-05-22,0,81927.32046552589,10.432987430846824,19.521656310366204,9.796202577268474,12.027328135990048,102.24953651523536,4.418857131539942,2.3133534204726987,100347.40071474502
2026-05-25,0,81518.98332834856,10.677326284636061,19.8472525676087,9.998660382217944,12.283601486427926,104.73914918196652,4.5250495575979945,2.3614156940373427,100318.2333988217
2026-05-26,0,81112.8036119286,10.918461215283648,20.258866091447445,10.182581715977946,12.544735380086133,107.26162079950208,4.628417482339834,2.4039170839106263,100348.41725585559
2026-05-27,0,80708.28088995241,11.163959847306929,20.758141622017114,10.330006197337235,12.81442276444539,109.89563730016955,4.733931527387187,2.4479934633737046,100257.413496669
2026-05-28,0,80306.38292486756,11.389779066520838,21.353178801123583,10.503837079213177,13.065703882007456,112.31035464760369,4.831402699344365,2.486448797074932,100408.91955363391
2026-05-29,0,79906.64151542645,11.604541130675841,21.955871052559132,10.69839772513485,13.309834561883111,114.64573274037338,4.924229820691092,2.5231206502561436,100447.91586284184
2026-06-01,0,79509.04551643839,11.865576804726908,22.548361581687956,10.863486101253368,13.564628298495373,115.96995598474345,5.046325100327612,2.568844533555687,100487.23040322073
2026-06-02,0,79113.53245607084,12.121668494287297,23.194870371071758,11.024065614145488,13.815853598698627,117.25995919591766,5.165343174272376,2.614721490082948,100513.80533748756
2026-06-03,0,78719.67226730095,12.40033536435405,23.757428696776085,11.144803500455867,14.080590555901004,118.66401278868891,5.2951913919537175,2.664951630752117,100433.52274719754
2026-06-04,0,78327.72209575848,12.66344649293526,24.356398619300176,11.288759160585489,14.338771581056946,120.01555307685912,5.418186763937904,2.714474827199675,100420.51003257842
2026-06-05,0,77935.88215539868,12.98827400678094,24.95085557424294,11.287685552185081,14.630258518810813,121.7438796696091,5.571254077166695,2.784956551656613,99948.61935697064
2026-06-08,0,77546.0695038478,13.318807574695255,25.45907021164069,11.28729321069702,14.93009820233114,123.48111645121044,5.7262669867996365,2.8538057793335425,99965.8192792495
2026-06-09,0,77157.16892773316,13.659761819594154,26.035091047041135,11.24759192757357,15.244485092279135,125.30906359998308,5.885832977187981,2.926812585267998,99699.09311858051
2026-06-10,0,76769.4904239701,14.010681795073038,26.54669786481038,11.192819509461625,15.569167374748417,127.18809608331546,6.050449958931176,3.002033582041375,99511.79673207883
2026-06-11,0,76384.41606297095,14.324872188189978,27.437029810172362,11.139901901406372,15.871930690475834,128.86622514041053,6.19623474261382,3.063974773159535,99681.38390826204
2026-06-12,0,76001.72254088617,14.64043646536934,28.232513054560734,11.092203485397267,16.17857396334666,130.5937821376948,6.341367791250793,3.124791143494637,99798.41786562791
2026-06-15,0,75622.06033183832,14.941358218860191,28.999959603869847,11.068939607605296,16.47956980058066,132.28840593963457,6.479795184191047,3.1792586615896035,100091.23996234691
2026-06-16,0,75244.03973527851,15.220259209693495,30.00758458505259,11.051319176469658,16.759501709747767,133.85453564604143,6.608022107686685,3.2310561604327446,100023.73021475694
2026-06-17,0,74867.41417408723,15.513472484492665,30.950832048339002,11.013723707925847,17.034600249919677,135.50672437933287,6.7415742635932006,3.283920405480029,99892.36988759077
2026-06-18,0,74492.54770996817,15.788976404526514,32.13530083397516,10.965437598890226,17.294110846644198,137.05167886760745,6.867272754745288,3.330340504981817,99858.77817855733
2026-06-19,0,74119.01157407711,16.08699036427746,33.07635347285255,10.91425768558006,17.56009954366244,138.724433131527,7.002668835723778,3.3814071111483543,99712.6389556211
2026-06-22,0,73747.34850131928,16.383509960009604,34.012687288475774,10.863334409311326,17.82475446444226,140.38879952064235,7.137385985313045,3.4322176484418714,99712.6389556211
2026-06-23,0,73376.46899494536,16.677572760387488,35.00704502989389,10.810276725082055,18.094957972150272,141.98612730040588,7.274328551440014,3.490544946435767,99422.24797259207
2026-06-24,0,73006.37725394916,16.946294445784353,36.41329475975125,10.755897067382516,18.35242767212082,143.04576974144575,7.400668247221358,3.5446825807656017,99132.81068828877
2026-06-25,0,72638.69614225901,17.208396837187856,37.776085460419274,10.702011455030462,18.606972658581878,144.36057278962278,7.5230802931461795,3.593526814315956,99279.47742318633
2026-06-26,0,72272.92591197274,17.474899411964746,39.13262216124526,10.64870457584612,18.874723578679852,145.44957964753922,7.6477936385556555,3.6442520454628538,99295.52780362662
2026-06-29,0,71909.19782827554,17.735776030758554,40.505523016204755,10.595362044256207,19.13250119208279,146.5243772073536,7.769496848191578,3.69595520706077,99350.21400786116
